uid,cid,qid,acc,time,conf,acc/time,type
5f3d2e6a0f32b804d33c162b,SU,8,1,20.678,5,0.048360576458071375,2
5f3d2e6a0f32b804d33c162b,SU,9,1,26.719,5,0.03742655039485011,2
5f3d2e6a0f32b804d33c162b,SU,10,0,218.459,1,0.0,2
5f3d2e6a0f32b804d33c162b,SU,11,1,65.118,2,0.01535673700052213,2
5f3d2e6a0f32b804d33c162b,SU,12,1,69.424,5,0.014404240608435122,2
5a6c076fd5d4cb0001d65a17,SU,2,1,50.704,5,0.019722309876932787,1
5a6c076fd5d4cb0001d65a17,SU,3,1,58.515,5,0.01708963513628984,1
5a6c076fd5d4cb0001d65a17,SU,4,1,68.84,5,0.014526438117373619,1
5a6c076fd5d4cb0001d65a17,SU,5,1,80.417,5,0.012435181615827498,1
5a6c076fd5d4cb0001d65a17,SU,6,1,73.897,5,0.01353234908047688,1
5a6c076fd5d4cb0001d65a17,SU,8,1,33.989,5,0.02942128335638001,2
5a6c076fd5d4cb0001d65a17,SU,9,1,33.555,5,0.029801817910892564,2
5a6c076fd5d4cb0001d65a17,SU,10,1,90.535,5,0.011045452035124538,2
5a6c076fd5d4cb0001d65a17,SU,11,1,96.257,5,0.010388854836531368,2
5a6c076fd5d4cb0001d65a17,SU,12,1,42.504,5,0.02352719744024092,2
5eb19ec151b7092bae964c92,SU,2,1,37.165,5,0.026907036189963675,1
5eb19ec151b7092bae964c92,SU,3,1,41.708,5,0.023976215594130622,1
5eb19ec151b7092bae964c92,SU,4,1,42.589,5,0.023480241376881355,1
5eb19ec151b7092bae964c92,SU,5,1,30.984,5,0.032274722437387035,1
5eb19ec151b7092bae964c92,SU,6,1,40.709,5,0.02456459259623179,1
5eb19ec151b7092bae964c92,SU,8,1,11.652,5,0.08582217645039479,2
5eb19ec151b7092bae964c92,SU,9,1,18.69,5,0.05350454788657035,2
5eb19ec151b7092bae964c92,SU,10,1,23.698,5,0.04219765381044814,2
5eb19ec151b7092bae964c92,SU,11,1,23.819,5,0.04198329065032117,2
5eb19ec151b7092bae964c92,SU,12,1,30.952,5,0.03230808994572241,2
5ef504d47faaa01261c64983,SU,2,1,17.3,4,0.057803468208092484,1
5ef504d47faaa01261c64983,SU,3,1,17.521,4,0.05707436790137549,1
5ef504d47faaa01261c64983,SU,4,1,18.91,5,0.052882072977260705,1
5ef504d47faaa01261c64983,SU,5,0,20.543,3,0.0,1
5ef504d47faaa01261c64983,SU,6,0,24.75,4,0.0,1
5ef504d47faaa01261c64983,SU,8,1,14.754,5,0.067778229632642,2
5ef504d47faaa01261c64983,SU,9,1,12.418,4,0.08052826542116283,2
5ef504d47faaa01261c64983,SU,10,1,26.534,4,0.03768749528906309,2
5ef504d47faaa01261c64983,SU,11,1,25.114,4,0.039818427968463806,2
5ef504d47faaa01261c64983,SU,12,0,30.167,3,0.0,2
5f43f7980ce1236cd3d256e5,SU,2,1,47.803,5,0.020919189172227685,1
5f43f7980ce1236cd3d256e5,SU,3,1,38.43,5,0.026021337496747333,1
5f43f7980ce1236cd3d256e5,SU,4,1,61.033,5,0.016384578834401062,1
5f43f7980ce1236cd3d256e5,SU,5,1,47.08,5,0.021240441801189464,1
5f43f7980ce1236cd3d256e5,SU,6,1,47.208,5,0.021182850364345026,1
5f43f7980ce1236cd3d256e5,SU,8,1,23.77,5,0.04206983592763988,2
5f43f7980ce1236cd3d256e5,SU,9,1,21.524,5,0.04645976584278015,2
5f43f7980ce1236cd3d256e5,SU,10,1,43.323,5,0.02308242734805992,2
5f43f7980ce1236cd3d256e5,SU,11,1,226.88,5,0.004407616361071932,2
5f43f7980ce1236cd3d256e5,SU,12,1,68.529,5,0.014592362357542063,2
5ed0e57a59e3fc1c70a782b9,SU,2,0,16.863,4,0.0,1
5ed0e57a59e3fc1c70a782b9,SU,3,1,18.473,4,0.05413305905916744,1
5ed0e57a59e3fc1c70a782b9,SU,4,1,12.704,4,0.0787153652392947,1
5ed0e57a59e3fc1c70a782b9,SU,5,1,20.776,2,0.048132460531382364,1
5ed0e57a59e3fc1c70a782b9,SU,6,0,29.895,1,0.0,1
5ed0e57a59e3fc1c70a782b9,SU,8,1,10.792,5,0.09266123054114159,2
5ed0e57a59e3fc1c70a782b9,SU,9,1,16.729,3,0.059776436128878,2
5ed0e57a59e3fc1c70a782b9,SU,10,1,33.144,2,0.03017137340091721,2
5ed0e57a59e3fc1c70a782b9,SU,11,1,20.2,2,0.04950495049504951,2
5ed0e57a59e3fc1c70a782b9,SU,12,0,23.193,2,0.0,2
5dd71029c944d16b0668c95f,SU,2,1,40.664,3,0.024591776509935076,1
5dd71029c944d16b0668c95f,SU,3,1,36.037,3,0.02774925770735633,1
5dd71029c944d16b0668c95f,SU,4,1,22.113,4,0.04522226744448967,1
5dd71029c944d16b0668c95f,SU,5,1,25.39,2,0.03938558487593541,1
5dd71029c944d16b0668c95f,SU,6,0,48.801,2,0.0,1
5dd71029c944d16b0668c95f,SU,8,1,14.169,4,0.07057661091114405,2
5dd71029c944d16b0668c95f,SU,9,1,12.119,2,0.08251505899826718,2
5dd71029c944d16b0668c95f,SU,10,0,45.692,2,0.0,2
